emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,1096,Shtime,Shkolla e Mesme 'Naim Frashëri',2201e,04R,1,1,06:00,05:58,2,6,1,650,756,2,1,1,1,1,7,1,1,1,1,74,155,316,414,8,0,46,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,414,1,1,1,1,414,26,1,0,1,0,4,2,0,0,0,,,0
,1684,Shtime,Shkolla e Mesme 'Naim Frashëri',2201e,06D,1,1,06:55,06:34,2,5,1,550,509,2,1,1,1,1,7,1,1,1,1,36,53,26,134,1,15,14,1,2,0,1,2,2,2,1,2,2,1,0,1,2,19:09,2,2,1,2,1,1,1,1,234,1,1,1,1,234,7,1,1,1,1,0,2,15,15,0,,,0
,1066,Shtime,Shkolla 'Emin Duraku',2201x,03R,1,1,06:02,05:58,0,6,0,600,737,2,1,1,1,1,7,1,1,1,1,44,67,145,95,6,0,35,1,2,2,2,2,2,2,2,2,2,1,0,0,2,19:00,2,0,0,2,1,1,1,1,351,1,0,1,1,351,24,0,0,1,1,4,0,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Abdyl Frashëri',2003a,10R,1,1,06:10,,1,0,1,0,0,2,1,1,1,1,7,1,1,1,1,51,168,287,422,7,0,14,1,2,2,2,2,2,2,1,2,2,1,0,0,2,19:10,2,1,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Lek Dukagjini',2007a,04R,1,1,06:00,,1,8,4,0,0,2,1,1,1,1,7,1,1,1,1,55,100,275,0,20,0,17,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Drenica' ,2107b,04R,1,1,06:00,,1,10,4,0,0,2,1,1,1,1,7,1,1,1,1,45,92,194,237,10,0,17,1,2,0,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,3,2,0,0,0,,,0
,,Prizren,Shtëpia e Gjuetarëve,2063a,01D,1,0,06:55,,1,6,3,0,0,2,1,1,1,1,7,1,1,1,1,3,7,20,30,0,11,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,11,11,0,,,0
,,Skënderaj,Shkolla e Mesme Teknike 'Anton Çetta',2101b,02R,1,1,06:00,,1,15,10,0,0,3,1,1,1,1,7,1,1,1,1,52,150,20,351,0,0,13,1,2,0,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Abedin Rexha',2117b,02D,1,1,06:00,,1,7,1,0,0,0,1,1,1,1,7,1,1,1,1,65,145,210,334,0,34,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,2,34,34,0,,,0
,,Ferizaj,Shkolla Fillore 'Ahmet Hoxha',2501y,08R,1,1,06:10,,2,7,3,0,0,2,1,1,1,1,7,1,1,1,1,46,106,207,341,0,0,14,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:02,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'F.Rama',2103b,02R,1,1,06:00,,1,6,0,0,0,3,1,1,1,1,7,1,1,1,1,142,176,81,0,0,0,7,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Ekrem Rexha',2051a,01D,1,1,06:20,,0,8,2,0,0,2,1,1,1,1,7,1,1,1,1,0,0,81,149,0,12,5,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,2,0,12,12,0,,,0
,,Ferizaj,Shkolla Fillore 'Ramadan Rexhepi' ,2511d,02D,1,1,06:10,,2,6,0,0,0,2,1,1,1,1,7,1,1,1,1,67,113,237,348,3,13,11,1,2,1,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,3,2,13,13,1,,,0
,,Ferizaj,Shkolla Fillore 'Dy Dëshmorët',2513d,04D,1,1,06:20,,1,6,0,0,0,2,1,1,1,1,7,1,1,1,1,23,67,117,152,0,10,6,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:08,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10,10,2,,,0
,,Skënderaj,Shkolla Fillore 'Pavarësija',2132b,02D,1,1,06:10,,2,10,1,0,0,2,1,1,1,1,7,1,1,1,1,16,90,150,256,5,16,3,1,1,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,2,0,2,1,1,0,0,0,0,0,1,1,3,2,20,19,1,,,0
,,Prizren,Shkolla Fillore 'Ekrem Rexha',2013a,03R,1,1,06:00,,1,7,3,0,0,2,1,1,1,1,7,1,1,1,1,52,86,169,295,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,1,3,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Dëshmoret e Koshares',2515d,02R,1,1,06:00,,1,6,1,0,0,0,0,0,0,0,7,1,1,1,1,53,122,215,370,0,0,27,1,2,2,2,1,2,1,2,2,2,0,0,0,2,19:05,1,1,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Svjetlost',2067a,02D,1,1,06:30,,1,7,1,0,0,2,1,1,1,1,7,1,1,1,1,9,43,75,129,27,27,1,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:10,2,1,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,3,2,27,27,2,,,0
,,Skënderaj,Shkolla Fillore 'Azem Bejta',2130b,01R,1,1,05:30,,2,6,3,0,0,2,1,1,1,1,7,1,1,1,1,50,96,221,284,6,0,5,1,1,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,2,2,4,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Ahmet Hoxha',2501y,09R,1,1,06:30,,2,7,2,0,0,3,1,1,1,1,7,1,1,1,1,47,148,220,325,4,0,1,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,4,4,0,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Abedin Rexha',2125b,02D,1,1,06:00,,2,7,0,0,0,2,1,1,1,1,7,1,1,1,1,150,260,529,713,1,46,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:05,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Meto Bajraktari',2044a,01D,1,1,06:30,,0,8,0,0,0,2,1,1,1,1,7,1,1,1,1,32,64,141,218,0,19,12,2,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,19,19,2,,,0
,,Ferizaj,Shkolla e muzikes 'Çesk Zadea',2501x,03R,1,1,06:00,,1,6,0,0,0,0,1,1,1,1,7,1,1,1,1,80,126,268,0,0,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:05,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Skender Skenderi' ,2110b,01R,1,1,06:00,,1,5,1,0,0,2,1,1,1,1,7,1,1,1,1,92,208,330,411,8,0,0,1,2,0,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Svjetlost',2037a,02D,1,1,06:00,,1,7,0,0,0,2,1,1,1,1,7,1,1,1,1,20,46,190,279,0,0,0,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:15,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,146,147,1,,,0
,,Ferizaj,Shkolla Fillore 'Ahmet Hoxha',2501y,03R,1,1,06:30,,1,6,0,0,0,3,1,1,1,1,7,1,1,1,1,46,101,190,0,0,0,21,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Svjetlost',2037a,01R,1,1,05:59,,1,8,0,0,0,2,1,1,1,1,6,1,1,1,1,12,32,113,183,0,0,3,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Mejdi Xhaferi',2529d,02D,1,0,06:15,,0,0,0,0,0,0,1,1,1,1,7,1,1,1,1,44,44,56,215,0,36,6,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,3,2,0,36,0,,,0
,,Prizren,Shkolla Fillore 'Meto Bajraktari',2034a,02D,1,1,05:55,,1,8,2,0,0,2,1,1,1,1,7,1,1,1,1,44,94,185,285,59,53,7,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:02,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,3,2,52,53,0,,,0
,,Prizren,Shkolla Fillore 'Draj_i_i',2028a,01D,1,1,06:00,,1,25,8,0,0,2,1,1,1,1,7,1,1,1,1,12,23,33,82,0,11,7,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,11,11,1,,,0
,,Prizren,Shkolla Fillore 'Izvor',2035a,01R,1,1,06:12,,2,8,1,0,0,2,1,1,1,1,7,1,1,1,1,40,67,163,278,14,0,3,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Gjinazi  'Hamez Jashari',2101x,05D,1,1,07:00,,1,4,1,0,0,3,1,1,1,1,7,1,1,1,1,127,188,370,485,94,94,23,2,2,2,2,2,2,2,1,2,2,7,0,0,2,19:07,1,0,1,2,2,1,0,1,0,1,1,1,0,0,0,0,0,4,4,0,1,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Zenel Hajdini',2020a,02R,1,1,06:40,,1,6,2,0,0,2,1,1,1,1,7,1,1,1,1,43,80,153,228,8,0,22,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:06,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Vellezerit Frasheri',2126b,01D,1,1,06:40,,1,12,2,0,0,2,1,1,1,1,7,1,1,1,1,25,60,110,152,15,15,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,3,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Zenel Hajdini',2020a,01R,1,1,06:30,,1,6,0,0,0,2,1,1,1,1,7,1,1,1,1,125,190,350,504,14,0,74,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:10,2,0,2,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0
,,Ferizaj,Shkolla e Mesme (ish Gjimnazi) 'Kuvendi i Arbërit',2502d,03R,1,1,06:30,,2,7,2,0,0,2,1,1,1,1,7,1,1,1,1,83,172,300,448,0,0,17,1,2,2,2,2,2,2,2,2,2,4,0,0,2,19:05,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Pllanjane',2068a,01D,1,1,06:00,,1,7,0,0,0,2,1,1,1,1,7,1,1,1,1,40,101,262,491,0,80,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:25,1,1,3,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,80,80,0,,,0
,,Ferizaj,Shkolla Fillore 'Pesë Dëshmoret e UÇK',2506d,01R,1,1,06:10,,2,7,1,0,0,2,1,1,1,1,7,1,1,1,1,75,172,270,412,3,0,49,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:05,2,0,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Meto Bajraktari',2034a,01R,1,1,06:28,,2,8,3,0,0,2,1,1,1,1,6,1,1,1,1,40,89,162,269,86,0,6,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:03,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Vëllezërit Frashëri',2102b,01R,1,0,06:00,,2,7,2,0,0,2,1,1,1,1,7,1,1,1,1,160,260,332,376,12,0,20,1,2,0,2,2,2,2,0,0,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Nefit Jusufi',2038a,01R,1,1,06:00,,1,8,1,0,0,1,1,1,1,1,7,1,2,1,1,56,112,173,268,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,1,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Mejdi Xhaferi',2529d,01R,1,1,06:00,,1,7,2,0,0,2,1,1,1,1,7,1,1,1,1,67,140,276,392,4,0,35,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Ali Kelmendi' ,2113b,01R,2,2,,,2,6,2,0,0,2,1,1,1,1,7,1,1,1,1,60,150,315,510,4,0,0,1,1,2,2,2,2,2,2,2,2,0,0,1,2,19:00,0,2,1,2,1,1,0,2,0,2,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Ekrem Rexha',2040a,02D,1,1,05:55,,1,7,1,0,0,2,1,1,1,1,7,1,1,1,1,0,0,242,414,0,17,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,17,17,0,,,0
,,Ferizaj, Shkolla 'Gjon Serreçi',2502x,05R,1,1,06:12,,1,6,3,0,0,2,1,1,1,1,7,1,1,1,1,53,139,295,432,2,0,17,1,2,2,2,1,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,2,431,2,1,,,0
,,Skënderaj,Shkolla 'Malush Ahmeti' ,2116b,02R,1,1,06:00,,1,7,0,0,0,2,1,1,1,1,7,1,1,1,1,67,150,286,335,0,41,1,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,41,0,,,0
,,Prizren,Shkolla Fillore 'Sharr',2010a,01D,1,1,06:09,,1,8,1,0,0,2,1,1,1,1,7,1,1,1,1,15,45,126,212,0,29,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,29,29,1,,,0
,,Ferizaj,Sh.M.Bujqesore'Zenel Hajdini',2504d,02R,1,1,06:30,,1,7,2,0,0,2,1,1,1,1,7,1,1,1,1,73,150,275,448,23,0,20,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:04,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,,,0
,,Prizren,Shkolla Fillore '25 Maj',2036a,02D,2,1,06:30,,1,7,2,0,0,2,1,1,1,1,7,1,1,1,1,21,71,137,239,0,80,27,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:05,2,0,2,2,1,2,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,80,80,2,,,0
,,Skënderaj,Shkolla Fillore ' ,2111b,01D,1,1,06:00,,0,6,2,0,0,1,1,1,1,1,7,1,1,1,1,3,7,10,42,7,7,0,1,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,3,2,42,2,0,,,0
,,Prizren,Shkolla Fillore 'Ekrem Rexha',2013a,01R,1,1,06:10,,1,7,1,0,0,2,1,1,1,1,7,1,1,1,1,32,52,139,228,0,0,6,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:05,2,2,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Ferizaj,Sh.M.Bujqesore'Zenel Hajdini',2504d,03R,1,1,06:10,,1,7,2,0,0,2,1,1,1,1,7,1,1,1,1,70,130,233,371,15,0,15,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Enver Haliti',2131b,01D,1,1,06:00,,2,7,1,0,0,2,1,1,1,1,7,1,1,1,1,42,58,208,309,26,26,39,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,26,26,0,,,0
,,Prizren,Shkolla Fillore 'Zenel Hajdini',2020a,03D,1,1,06:40,,1,5,1,0,0,2,1,1,1,1,7,1,1,1,1,41,105,133,215,2,33,40,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:10,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,4,0,4,2,33,33,2,,,0
,,Ferizaj,Shkolla e Mesme 'Faik Konica',2503d,04R,1,0,06:00,,1,7,2,0,0,3,1,1,1,1,7,1,1,1,1,95,134,254,375,0,0,27,1,2,2,2,0,0,0,1,2,2,0,0,4,2,19:05,0,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,,,0
,,Prizren,Shkolla Fillore 'Dëshmorët e Vërrinit',2041a,01R,1,1,06:10,,2,5,0,0,0,2,1,1,1,1,7,1,1,1,1,52,85,157,234,0,0,38,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,0,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Ahmet Hoxha',2501y,04R,1,1,06:30,,2,6,1,0,0,3,1,1,1,1,7,1,1,1,1,68,134,273,410,6,0,20,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Skender Skenderi',2123b,01D,1,1,06:10,,1,7,1,0,0,2,1,1,1,1,7,1,1,1,1,31,121,260,356,14,14,7,1,1,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,14,14,1,,,0
,,Prizren,Shkolla Fillore 'Mustafa Bakiu',2005x,04R,0,1,06:05,,0,6,3,0,0,2,1,1,1,1,7,1,1,1,1,45,111,210,327,7,0,9,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,2,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Dëshmoret e Koshares',2515d,01R,1,1,06:30,,1,7,0,0,0,2,1,1,1,1,7,1,1,1,1,68,67,125,0,4,0,128,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,2,,,0
,,Prizren,Shkolla Fillore 'Ibrahim Fehmiu',2002a,03R,1,1,06:00,,1,13,6,0,0,2,1,1,1,1,7,1,1,1,1,68,135,312,402,0,0,1,1,2,2,2,2,2,2,1,2,2,0,0,1,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Dëshmoret e Koshares',2515d,03R,2,2,06:30,,1,7,2,0,0,2,1,1,1,1,7,1,1,1,1,95,159,338,456,0,0,27,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:06,2,0,1,2,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Zenun Çoçaj',2015a,02R,1,1,06:03,,2,4,3,0,0,2,1,1,1,1,7,1,1,1,1,53,106,216,284,1,0,49,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:04,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Idriz Berani' ,2106b,02R,1,1,06:00,,1,7,4,0,0,3,1,1,1,1,0,1,1,1,1,44,119,287,368,0,0,35,1,2,2,2,0,0,0,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,2,0,0,0,,,0
,,Ferizaj,Shkolla Fillore 'Jeronim De Rada',2503x,01R,1,1,06:00,,1,8,5,0,0,2,1,1,1,1,7,1,1,1,1,68,147,280,373,0,0,23,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Prizren,Shkolla 'Fadil Hisari',2006a,04R,1,1,06:05,,1,6,2,0,0,2,1,1,1,1,7,1,1,1,1,50,113,200,281,13,0,17,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Idriz Berani' ,2106b,01R,1,1,06:00,,1,6,1,0,0,3,1,1,1,1,7,1,1,1,1,70,240,300,481,5,0,10,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:08,2,1,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Izvor',2035a,02R,1,1,06:15,,1,7,1,0,0,2,1,1,1,1,7,1,1,1,1,21,49,98,262,0,0,16,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:05,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Abdyl Frashëri',2003a,05R,1,1,06:00,,2,8,3,0,0,2,1,1,1,1,7,1,1,1,1,70,230,402,511,6,0,12,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:07,2,1,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Halit Geci',2129b,01D,1,1,06:00,,1,6,1,0,0,2,1,1,1,1,7,1,1,1,1,81,155,261,388,2,15,4,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:05,2,1,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,15,15,1,,,0
,,Ferizaj,Shkolla e Mesme 'Faik Konica',2503d,01R,1,1,05:50,,1,0,0,0,0,3,1,1,1,1,6,1,1,1,1,50,65,125,94,15,0,13,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,3,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Abdyl Frashëri',2003a,03R,1,1,06:05,,1,7,3,0,0,2,1,1,1,1,7,1,1,1,1,72,114,288,427,11,0,22,1,2,2,2,2,2,2,1,2,1,1,0,0,2,19:06,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Ferizaj,Shkolla e Mesme 'Faik Konica',2503d,05D,1,1,06:00,,1,13,6,0,0,3,1,1,1,1,7,1,1,1,1,52,106,65,54,0,19,9,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,2,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,2,18,19,1,,,0
,,Prizren,Shkolla Fillore 'Abdyl Frashëri',2003a,04R,1,1,06:00,,2,7,2,0,0,2,1,1,1,1,7,1,1,1,1,80,200,378,488,5,0,17,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:15,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,,0
,,Skënderaj,Shkolla Fillore 'Abedin Rexha',2124b,01R,0,1,07:00,,2,9,1,0,0,2,1,1,1,1,7,1,1,1,1,99,220,350,413,24,0,17,1,2,2,2,2,0,0,1,2,2,0,0,0,2,19:05,2,0,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Motrat Qiriazi',2004a,06R,1,1,06:00,,1,7,3,0,0,2,1,1,1,1,7,1,1,1,1,85,176,314,442,0,0,9,1,2,2,2,2,2,2,2,2,2,0,0,1,2,,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Skënderaj,Shkolla 'Ismet Rrahmani' ,2104b,02D,1,1,06:00,,2,14,0,0,0,2,1,1,1,1,7,1,1,1,1,30,115,275,313,40,47,10,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,0,,,0
,,Prizren,Shkolla Fillore 'Motrat Qiriazi',2004a,07R,1,1,06:00,,1,7,3,0,0,2,1,1,1,1,7,1,1,1,1,52,125,248,0,0,0,6,1,2,2,2,2,2,2,2,2,2,0,0,0,2,,2,0,2,2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,4,2,0,0,0,,,0
