emri_mbiemri,nr_vezhguesi,komuna,emri_qv,nr_qv,nr_vv,pyetja_1,pyetja_4,pyetja_5,pyetja_3,pyetja_2,pyetja_6,pyetja_femra,pyetja_8,pyetja_9,pyetja_10,pyetja_11,pyetja_12,pyetja_13,pyetja_14,pyetja_15,pyetja_17,pyetja_18,pyetja_19,pyetja_20,10_21,12_21,16_21,19_21,pyetja_22,pyetja_23,pyetja_24,pyetja_25,pyetja_26,pyetja_27,pyetja_28,pyetja_29,pyetja_30,pyetja_31,pyetja_32,pyetja_33,pyetja_34,pyetja_35,pyetja_36,pyetja_36a,pyetja_37,pyetja_38,pyetja_39,pyetja_40,pyetjaj_41,pyetja_42,pyetja_43,pyetja_44,pyetja_45,pyetja_46,pyetja_47,pyetja_48,pyetja_49,pyetja_50,pyetja_51,pyetja_52,pyetja_53,pyetja_54,pyetja_55,pyetjaj_56,pyetja_57,pyetja_58,pyetja_59,pytja_kusht1,pytja_kusht2,pytja_kusht3,pytja_60,pytja_61,pytja_62
,505/9,Podujevë,Shkolla Fillore 'Zenel Hajdini',1827e,03D,1,1,,05:55,1,0,0,650,612,3,1,1,1,1,7,1,1,1,1,62,104,220,349,0,43,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,1,1,306,0,0,0,1,306,0,0,0,0,0,0,0,0,43,2,,,0
,505/2183,Gllogoc,Shkolla Fillore 'Xheve Lladrovci',0316e,02D,1,1,06:00,07:00,1,7,0,750,702,2,1,1,1,1,7,1,1,1,1,60,136,275,359,3,22,37,1,2,2,2,2,2,2,2,2,2,0,0,1,2,07:00,2,2,1,2,1,1,1,1,359,1,1,1,1,336,26,1,0,1,1,4,2,22,22,2,,,0
,505/91,Gllogoc,Shkolla 'Xheladin Gashi - Plaku ',0302e,01R,1,1,06:00,05:59,2,6,2,800,922,3,1,1,1,1,7,1,1,1,1,61,137,334,481,15,0,12,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,0,1,2,1,1,1,1,481,1,1,1,1,481,29,1,1,1,1,1,2,0,0,0,,,0
,0007,Gllogoc,Shkolla Fillore 'Deshmorët e Drenicës',0322e,02D,1,1,07:20,06:40,1,12,1,650,620,3,1,1,1,1,7,1,1,1,1,57,90,246,328,0,25,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:10,2,2,1,2,1,1,1,1,328,1,1,1,1,303,9,1,0,0,0,0,2,25,25,1,,,0
,50518,Podujevë,Shkolla Fillore 'Ali Hadri' ,1841e,01D,1,1,,06:30,1,0,0,900,888,2,1,1,1,1,7,1,1,1,1,40,147,225,312,5,6,0,1,2,2,2,2,2,2,2,2,2,0,0,1,2,19:00,2,2,2,2,1,1,1,1,312,1,1,1,1,312,6,1,1,1,1,4,2,0,0,0,,,0
,,Podujevë,Shkolla Fillore 'Elfir Behrami',1830e,02D,1,0,,06:00,0,6,1,505,443,2,1,1,1,1,7,1,1,1,1,37,82,132,210,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,4,2,19:00,2,0,2,2,1,1,1,1,210,0,0,1,0,210,12,0,0,1,0,4,0,0,5,0,,,0
,505/18,Podujevë,Shkolla Fillore 'Hamit Sejdiu ',1844e,02D,1,1,06:30,06:30,1,5,1,985,485,2,1,1,1,1,7,1,1,1,1,10,94,118,0,2,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,,0,0,2,2,1,1,0,1,248,1,1,1,1,248,13,1,1,0,0,0,0,0,0,0,,,0
,0848,Mamush,Shkolla Fillore 'Haxhi Ymer Lytfi',3201a,01R,1,1,06:00,06:01,1,7,1,800,939,2,1,1,1,1,7,1,1,1,1,100,175,350,428,0,0,15,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:15,2,0,1,2,1,1,1,1,426,1,1,1,1,428,18,1,1,1,1,4,2,0,0,0,,,0
,505/18,Podujevë,Shkolla Fillore 'Hamit Sejdiu ',1844e,01R,1,1,06:00,06:05,0,5,1,400,501,2,1,1,1,1,7,1,1,1,1,35,64,118,200,1,0,0,1,2,2,2,2,2,2,2,2,2,0,0,0,2,19:00,2,0,2,2,1,1,2,1,200,1,1,1,1,200,13,1,1,1,1,4,2,0,0,0,,,0
,1660,Mamush,Shkolla Fillore 'Haxhi Ymer Lytfi',3201a,03R,1,1,06:00,06:01,1,7,1,800,912,2,1,1,1,1,7,1,1,1,1,145,235,370,449,0,0,20,1,2,2,2,2,2,2,1,2,2,0,0,0,2,19:00,2,0,1,2,1,1,1,1,449,1,1,1,1,449,22,1,1,1,2,3,0,0,0,0,,,0
